respondent_id,persona_label,Q1_age,Q2_gender,Q3_state,Q4_location,Q5_income,Q6_edu_level,Q7_stream,Q8_board,Q9_academic_perf,Q10_career_clarity,Q11_challenges,Q12_past_guidance,Q13_guidance_satisfaction,Q14_decision_urgency,Q15_subject_interests,Q16_career_domain,Q17_learning_style,Q18_top_skills,Q19_influencers,Q20_who_pays,Q21_career_factors,Q22_past_spending,Q23_info_sources,Q24_missing_gap,Q25_psych_fear_wrong_choice,Q25_psych_prefer_independent,Q25_psych_financial_over_passion,Q25_psych_risk_tolerance,Q25_psych_long_term_thinking,Q26_feature_prefs,Q27_tradeoff_wtp,Q28_monthly_wtp,Q29_onetime_wtp,Q30_primary_source,Q31_platform_adoption,wtp_monthly_numeric,urgency_score,income_numeric,clarity_score,psycho_composite
R0015,Anxious Achiever,18-20,,Uttar Pradesh,Metro city,Below Rs2L,UG 2nd year+,Science PCB,State Board,Above 90%,Just exploring,No access to mentors,Never received guidance,1 - Very dissatisfied,6-12 months,Law Social Sciences|Medicine Healthcare,Medicine and Healthcare|Technology and Engineering,Hands-on projects|Reading articles/books,Empathy interpersonal skills|Leadership teamwork,Myself - independent|Teachers / counsellors,I decide and pay myself,Location flexibility|Scope for growth|Work-life balance,Study materials / books,Coaching institutes|I dont search - feel lost,Open text response,5,2,4,2,3,AI chatbot 24/7|Scholarship finder,1-on-1 professional session,Nothing - free only,Yes up to Rs999,School teacher/counsellor,Definitely would use,0,3,100000.0,3,3.2
R0016,Confused Drifter,Under 15,Female,Tamil Nadu,Tier-3 city,Rs2-5L,UG 2nd year+,Science PCB,State Board,Below 60%,Just exploring,Dont know exams needed|Family pressure,Online platform,4 - Satisfied,More than 2 years,Business Finance Economics|Literature Languages,Education and Research|Law and Civil Services|Medicine and Healthcare,Peer discussions,Creative thinking design|Technical coding skills,Online influencers / social media,I decide - parents pay,Scope for growth,Online courses / certifications,Coaching institutes|Parents / family,Open text response,4,2,3,3,3,1-on-1 mentorship|Salary and job demand dashboard,1-on-1 professional session,Up to Rs99/mo,No - would not pay,Family / relatives,Neutral,70,5,350000.0,3,3.0
R0017,Focused Climber,24 or above,Male,Madhya Pradesh,Tier-2 city,Below Rs2L,Class 12,Science PCM,CBSE,80-90%,Mostly clear,Family pressure|Too many options,School counsellor (free),4 - Satisfied,3-6 months,Agriculture Environment|Mathematics Statistics,Technology and Engineering,Gamified learning,Not sure yet|Research writing,No one - still figuring out,I decide and pay myself,Location flexibility|Social status / prestige,Nothing - never paid,I dont search - feel lost|Social media,Open text response,3,5,3,3,4,Psychometric tests|Salary and job demand dashboard,1-on-1 professional session,Rs100-299/mo,Yes above Rs999,Google / web search,Likely would use,200,2,100000.0,2,3.6
R0018,Confused Drifter,24 or above,Male,Maharashtra,Tier-3 city,Below Rs2L,Class 12,Arts / Humanities,State Board,70-80%,Very confused,Dont know my strengths|Unaware of emerging careers,Never received guidance,3 - Neutral,1-2 years,Business Finance Economics|Technology Computers AI,Emerging fields,Peer discussions,Creative thinking design,Myself - independent|Teachers / counsellors,Not sure,Job security and stability|Location flexibility|Scope for growth,Study materials / books,Google / web search,Open text response,4,2,2,3,3,1-on-1 mentorship|Scholarship finder,Detailed career report,Up to Rs99/mo,Yes up to Rs199,YouTube,Definitely would NOT use,70,4,100000.0,5,2.8
R0019,Curious Explorer,15-17,Female,Madhya Pradesh,Tier-3 city,Rs10-20L,Class 12,Arts / Humanities,CBSE,60-70%,Just exploring,Dont know my strengths,School counsellor (free),3 - Neutral,6-12 months,Business Finance Economics|Literature Languages,Creative Arts Media Design|Education and Research,Gamified learning|Reading articles/books,Mathematical ability,Extended family|Myself - independent,I decide and pay myself,High earning potential|Scope for growth|Work-life balance,Test prep apps / subscriptions,I dont search - feel lost|Parents / family|Social media,Open text response,2,5,2,2,2,1-on-1 mentorship|AI chatbot 24/7,Detailed career report,Rs500-999/mo,Yes up to Rs199,YouTube,Neutral,750,3,1500000.0,3,2.6
R0020,Focused Climber,15-17,Male,Maharashtra,Rural / Village,Rs10-20L,UG 2nd year+,Science PCM,CBSE,Above 90%,Completely clear,Dont know exams needed|No access to mentors,Online platform,NA,3-6 months,Government Policy|Mathematics Statistics,Education and Research|Social Work Development|Technology and Engineering,Hands-on projects|Live classes,Communication public speaking,Online influencers / social media,I decide - parents pay,Location flexibility|Personal passion,Online courses / certifications,Social media,Open text response,3,4,5,4,5,1-on-1 mentorship|Peer community forums|Salary and job demand dashboard,3mo platform access,Rs100-299/mo,Yes up to Rs199,Google / web search,Likely would use,200,2,1500000.0,1,4.2
R0021,Curious Explorer,18-20,Female,Tamil Nadu,Metro city,Rs5-10L,Class 11,Not decided,State Board,Above 90%,Just exploring,Family pressure|Too many options,School counsellor (free),2 - Dissatisfied,6-12 months,Agriculture Environment,Emerging fields,Live classes|Peer discussions|Reading articles/books,Communication public speaking|Not sure yet,Extended family,Parents decide and pay,Help society|Job security and stability|Social status / prestige,Online courses / certifications,YouTube,Open text response,3,5,3,5,2,AI chatbot 24/7|Scholarship finder,Would not spend Rs499,Up to Rs99/mo,Yes up to Rs999,Google / web search,Definitely would use,70,3,750000.0,3,3.6
R0022,Anxious Achiever,21-23,Female,Punjab,Metro city,Rs10-20L,Class 12,Science PCB,CBSE,Not applicable,Mostly clear,Dont know exams needed|No access to mentors,Family/friends only,4 - Satisfied,Within 3 months,Medicine Healthcare,Education and Research|Medicine and Healthcare,Watching videos,Analytical logical thinking|Creative thinking design|Not sure yet,Online influencers / social media|Parents / guardians,I decide and pay myself,Work-life balance,Nothing - never paid|Study materials / books,Coaching institutes|Google / web search,Open text response,5,3,4,3,4,AI chatbot 24/7|Personalised roadmap,1-on-1 professional session,Nothing - free only,Yes up to Rs999,YouTube,Definitely would use,0,1,1500000.0,2,3.8
R0023,Pragmatic Follower,15-17,Male,Gujarat,Tier-3 city,Rs5-10L,Class 11,Commerce with Maths,CBSE,60-70%,Just exploring,Dont know exams needed|Fear of wrong choice,Never received guidance,3 - Neutral,Within 3 months,Mathematics Statistics,Business Finance Entrepreneurship,Live classes|Peer discussions,Empathy interpersonal skills,Parents / guardians,I decide - parents pay,Personal passion|Scope for growth,Nothing - never paid|Online courses / certifications,Social media|Teachers / school|YouTube,Open text response,3,4,4,1,3,Peer community forums,Detailed career report,Rs100-299/mo,Yes up to Rs199,Social media,Neutral,200,1,750000.0,3,3.0
R0024,Curious Explorer,21-23,Male,Uttar Pradesh,Tier-2 city,Rs2-5L,Class 12,Not decided,ICSE / ISC,Not applicable,Just exploring,Unaware of emerging careers,School counsellor (free),4 - Satisfied,3-6 months,Design Art Media|Mathematics Statistics,Defence and Public Service,Hands-on projects,Communication public speaking|Creative thinking design,No one - still figuring out|Parents / guardians,Joint decision,Help society|Work-life balance,Private career counsellor session|Test prep apps / subscriptions,Google / web search|Social media,Open text response,3,4,3,4,3,College and exam recommender|Personalised roadmap,Detailed career report,Nothing - free only,Yes up to Rs499,Family / relatives,Likely would use,0,2,350000.0,3,3.4
R0025,Curious Explorer,15-17,Female,Telangana,Tier-2 city,Rs5-10L,Class 9 or below,Not decided,CBSE,60-70%,Just exploring,Dont know my strengths|Too many options,Family/friends only,1 - Very dissatisfied,More than 2 years,Design Art Media|Law Social Sciences|Literature Languages,Defence and Public Service,Watching videos,Analytical logical thinking|Technical coding skills,Myself - independent|Online influencers / social media,Joint decision,Scope for growth|Work-life balance,Nothing - never paid,Google / web search,Open text response,2,5,2,4,3,1-on-1 mentorship|College and exam recommender,Exam study plan,Nothing - free only,No - would not pay,Family / relatives,Neutral,0,5,750000.0,3,3.2
R0026,Confused Drifter,21-23,Female,Telangana,Tier-2 city,Below Rs2L,Class 10,Science PCM,CBSE,70-80%,Somewhat confused,Dont know exams needed|Family pressure,Never received guidance,2 - Dissatisfied,6-12 months,Science Physics Chemistry Biology|Technology Computers AI,Creative Arts Media Design|Education and Research,Hands-on projects,Analytical logical thinking|Communication public speaking|Mathematical ability,Parents / guardians|Teachers / counsellors,Joint decision,Location flexibility|Personal passion,Nothing - never paid|Test prep apps / subscriptions,Social media,Open text response,4,2,3,2,3,Peer community forums|Personalised roadmap|Scholarship finder,Would not spend Rs499,Nothing - free only,No - would not pay,School teacher/counsellor,Unlikely to use,0,3,100000.0,4,2.8
R0027,Anxious Achiever,15-17,Female,Rajasthan,Tier-3 city,Above Rs20L,UG 1st year,Science PCB,CBSE,80-90%,Mostly clear,Dont know exams needed|Dont know my strengths,School counsellor (free),2 - Dissatisfied,Within 3 months,Design Art Media|Mathematics Statistics,Education and Research|Medicine and Healthcare|Social Work Development,Live classes|Watching videos,Mathematical ability,Friends / peers|Myself - independent,I decide - parents pay,High earning potential|Job security and stability|Work-life balance,Online courses / certifications,Career apps / websites,Open text response,5,2,4,2,4,Salary and job demand dashboard|Scholarship finder,Detailed career report,Rs500-999/mo,Yes up to Rs499,School teacher/counsellor,Definitely would use,750,1,2500000.0,2,3.4
R0028,Confused Drifter,Under 15,Prefer not to say,Telangana,Rural / Village,Above Rs20L,Class 9 or below,Arts / Humanities,ICSE / ISC,80-90%,Completely clear,Dont know exams needed,Never received guidance,3 - Neutral,6-12 months,Agriculture Environment|Law Social Sciences,Creative Arts Media Design|Law and Civil Services,Hands-on projects|Peer discussions,Not sure yet|Research writing|Technical coding skills,Friends / peers|Myself - independent,Parents decide and pay,Help society|Job security and stability|Social status / prestige,Coaching classes (JEE NEET etc),Career apps / websites|Coaching institutes|YouTube,Open text response,3,3,3,3,3,Personalised roadmap|Scholarship finder,Exam study plan,Above Rs1000/mo,Yes above Rs999,School teacher/counsellor,Neutral,1955,3,2500000.0,1,3.0
R0029,Confused Drifter,15-17,Female,Bihar,Rural / Village,Prefer not to say,UG 2nd year+,Arts / Humanities,State Board,60-70%,Very confused,No access to mentors|Unaware of emerging careers,Private counsellor (paid),2 - Dissatisfied,1-2 years,Government Policy|Technology Computers AI,Education and Research|Technology and Engineering,Peer discussions,Communication public speaking|Creative thinking design|Research writing,No one - still figuring out,I decide - parents pay,Job security and stability|Personal passion|Social status / prestige,Nothing - never paid,Coaching institutes,Open text response,5,3,2,2,3,College and exam recommender|Peer community forums|Salary and job demand dashboard,3mo platform access,Rs100-299/mo,Yes up to Rs199,Social media,Likely would use,200,4,,5,3.0
R0030,Focused Climber,24 or above,Female,Haryana,Tier-2 city,Above Rs20L,Class 12,Commerce without Maths,CBSE,80-90%,Mostly clear,Unaware of emerging careers,Family/friends only,3 - Neutral,6-12 months,Design Art Media,Business Finance Entrepreneurship|Defence and Public Service|Sports Fitness Wellness,Hands-on projects|Peer discussions|Reading articles/books,Analytical logical thinking|Creative thinking design|Mathematical ability,No one - still figuring out,Parents decide and pay,Location flexibility|Personal passion|Social status / prestige,Online courses / certifications,I dont search - feel lost,Open text response,3,4,3,3,5,1-on-1 mentorship|Peer community forums|Salary and job demand dashboard,3mo platform access,Rs500-999/mo,Yes up to Rs499,YouTube,Definitely would use,750,3,2500000.0,2,3.6
R0031,Focused Climber,24 or above,Female,Tamil Nadu,Tier-2 city,Above Rs20L,UG 2nd year+,Commerce with Maths,State Board,Above 90%,Mostly clear,Dont know my strengths,Never received guidance,4 - Satisfied,3-6 months,Literature Languages|Mathematics Statistics,Education and Research|Social Work Development,Watching videos,Analytical logical thinking|Communication public speaking|Empathy interpersonal skills,Teachers / counsellors,I decide and pay myself,Job security and stability|Personal passion|Social status / prestige,Coaching classes (JEE NEET etc),Teachers / school,Open text response,2,4,2,4,5,1-on-1 mentorship|AI chatbot 24/7|Personalised roadmap,Detailed career report,Rs300-499/mo,Yes up to Rs499,Online career platform,Definitely would use,400,2,2500000.0,2,3.4
R0032,Pragmatic Follower,15-17,Female,Haryana,Tier-2 city,Rs5-10L,Class 11,Science PCM,State Board,60-70%,Somewhat confused,Dont know my strengths|Too many options,Online platform,NA,1-2 years,Mathematics Statistics|Science Physics Chemistry Biology,Law and Civil Services,Hands-on projects|Reading articles/books|Watching videos,Technical coding skills,Extended family|Online influencers / social media,Parents decide and pay,Job security and stability,Study materials / books,Coaching institutes|Social media,Open text response,3,4,4,1,4,College and exam recommender|Peer community forums|Psychometric tests,3mo platform access,Rs100-299/mo,Yes up to Rs999,Family / relatives,Neutral,200,4,750000.0,4,3.2
R0033,Anxious Achiever,21-23,Female,Maharashtra,Tier-2 city,,UG 2nd year+,Vocational / Diploma,State Board,80-90%,Mostly clear,Dont know my strengths|No access to mentors,Family/friends only,3 - Neutral,Within 3 months,Government Policy,Social Work Development|Technology and Engineering,Gamified learning,Analytical logical thinking|Communication public speaking,Friends / peers|Myself - independent,I decide - parents pay,Location flexibility|Personal passion,Nothing - never paid,Google / web search|YouTube,Open text response,5,2,4,2,5,Peer community forums|Scholarship finder,Exam study plan,Rs500-999/mo,Yes up to Rs199,Online career platform,Definitely would use,750,1,,2,3.6
R0034,Anxious Achiever,21-23,Female,Uttar Pradesh,Tier-3 city,Above Rs20L,Class 11,Commerce with Maths,IB,Above 90%,Mostly clear,Financial constraints,Private counsellor (paid),3 - Neutral,Within 3 months,Business Finance Economics,Business Finance Entrepreneurship|Creative Arts Media Design|Social Work Development,Watching videos,Creative thinking design,Parents / guardians,I decide and pay myself,Help society|Location flexibility|Scope for growth,Coaching classes (JEE NEET etc)|Study materials / books,Teachers / school,Open text response,5,3,3,3,5,College and exam recommender|Personalised roadmap|Salary and job demand dashboard,3mo platform access,Rs300-499/mo,Yes up to Rs199,YouTube,Neutral,400,1,2500000.0,2,3.8
R0035,Anxious Achiever,18-20,Male,Madhya Pradesh,Tier-2 city,Rs5-10L,Class 11,Science PCB,State Board,Below 60%,Very confused,Financial constraints,Family/friends only,4 - Satisfied,3-6 months,Law Social Sciences|Medicine Healthcare|Science Physics Chemistry Biology,Education and Research|Medicine and Healthcare,Live classes|Reading articles/books,Analytical logical thinking|Empathy interpersonal skills|Technical coding skills,Online influencers / social media|Parents / guardians,I decide - parents pay,Help society|Personal passion|Work-life balance,Study materials / books,Google / web search,Open text response,5,2,3,3,5,1-on-1 mentorship,3mo platform access,Rs500-999/mo,Yes up to Rs499,Family / relatives,Unlikely to use,750,2,750000.0,5,3.6
R0036,Confused Drifter,Under 15,Non-binary / Other,Punjab,Rural / Village,Rs2-5L,Class 10,Arts / Humanities,ICSE / ISC,,Just exploring,Dont know my strengths|Family pressure,Private counsellor (paid),1 - Very dissatisfied,3-6 months,Law Social Sciences|Literature Languages|Medicine Healthcare,Creative Arts Media Design|Social Work Development|Sports Fitness Wellness,Gamified learning|Hands-on projects|Live classes,Creative thinking design|Technical coding skills,Friends / peers|Online influencers / social media,I decide - parents pay,Personal passion|Scope for growth,Coaching classes (JEE NEET etc)|Study materials / books,Coaching institutes|YouTube,Open text response,4,2,2,2,3,1-on-1 mentorship|Psychometric tests,3mo platform access,Nothing - free only,No - would not pay,YouTube,Likely would use,0,2,350000.0,3,2.6
R0037,Confused Drifter,18-20,Male,Haryana,Tier-2 city,Below Rs2L,UG 1st year,Science PCB,ICSE / ISC,Above 90%,Just exploring,Too many options|Unaware of emerging careers,Never received guidance,5 - Very satisfied,3-6 months,Science Physics Chemistry Biology|Technology Computers AI,Business Finance Entrepreneurship|Education and Research|Medicine and Healthcare,Gamified learning|Watching videos,Leadership teamwork,Parents / guardians,I decide - parents pay,Job security and stability,Nothing - never paid,Teachers / school,Open text response,3,2,1,1,3,Peer community forums|Psychometric tests,3mo platform access,Nothing - free only,No - would not pay,YouTube,Definitely would use,0,2,100000.0,3,2.0
R0038,Anxious Achiever,15-17,Male,Tamil Nadu,Metro city,Rs10-20L,Class 12,Arts / Humanities,CBSE,80-90%,Mostly clear,Dont know my strengths|Financial constraints,Private counsellor (paid),2 - Dissatisfied,1-2 years,Design Art Media,Business Finance Entrepreneurship|Education and Research,Peer discussions,Communication public speaking,No one - still figuring out,Parents decide and pay,Help society|Location flexibility|Social status / prestige,Online courses / certifications,Career apps / websites|Google / web search,Open text response,5,3,4,2,5,AI chatbot 24/7|Psychometric tests,Would not spend Rs499,Rs100-299/mo,Yes up to Rs199,YouTube,Definitely would use,200,4,1500000.0,2,3.8
R0039,Confused Drifter,15-17,Female,Assam,Tier-3 city,Rs5-10L,Class 11,Arts / Humanities,State Board,60-70%,Just exploring,Financial constraints,Never received guidance,3 - Neutral,3-6 months,Literature Languages|Technology Computers AI,Defence and Public Service|Sports Fitness Wellness,Hands-on projects,Communication public speaking|Technical coding skills,Teachers / counsellors,Parents decide and pay,Job security and stability|Social status / prestige,Online courses / certifications,Career apps / websites|Parents / family,Open text response,3,2,3,3,2,Psychometric tests,Exam study plan,Nothing - free only,No - would not pay,YouTube,Neutral,0,2,750000.0,3,2.6
R0040,Focused Climber,21-23,Female,Odisha,Metro city,Rs10-20L,UG 1st year,Science PCB,State Board,70-80%,Mostly clear,Dont know exams needed|Fear of wrong choice,Private counsellor (paid),5 - Very satisfied,1-2 years,Design Art Media|Science Physics Chemistry Biology,Medicine and Healthcare|Sports Fitness Wellness,Gamified learning|Peer discussions,Communication public speaking|Not sure yet|Technical coding skills,Friends / peers|Myself - independent,Joint decision,Help society|Social status / prestige|Work-life balance,Coaching classes (JEE NEET etc),Coaching institutes|Social media,Open text response,2,4,3,4,5,1-on-1 mentorship|Personalised roadmap,3mo platform access,Nothing - free only,Yes up to Rs499,YouTube,Likely would use,0,4,1500000.0,2,3.6
